timestamp,A_Pre1945,B_19461983,C_19842010,D_Post2011,Average of temperatureatmospherique
1/14/2020 15:00,3.6591,2.645674576,2.764693333,1.7112,-12.93333333
1/14/2020 16:00,4.1706,2.537552542,2.82,2.420037209,-14.26666667
1/14/2020 17:00,3.5221,2.986271186,2.84944,2.225023256,-15.5
1/14/2020 18:00,5.1505,2.969145763,2.890773333,2.207776744,-16.83333333
1/14/2020 19:00,4.294,3.281633898,2.567946667,2.319237209,-17.96666667
1/14/2020 20:00,4.467,2.999349153,3.226453333,2.668688372,-19.03333333
1/14/2020 21:00,3.975,3.041023729,3.11696,2.230381395,-20
1/14/2020 22:00,3.5197,3.019911864,3.301866667,2.250418605,-20.96666667
1/14/2020 23:00,3.7249,2.801166102,3.183893333,2.066232558,-21.7
1/15/2020 0:00,4.0527,3.031322034,2.645386667,1.947906977,-22.63333333
1/15/2020 1:00,4.3101,2.989667797,2.72464,2.3184,-23.3
1/15/2020 2:00,4.058,2.927715254,2.807573333,2.45335814,-23.5
1/15/2020 3:00,4.4679,2.952671186,2.722453333,2.449953488,-24.16666667
1/15/2020 4:00,4.3298,2.899749153,2.83728,2.3424,-24.8
1/15/2020 5:00,4.9312,3.301362712,3.06208,2.851590698,-25.43333333
1/15/2020 6:00,4.6114,3.282345763,3.23952,2.621023256,-25.76666667
1/15/2020 7:00,4.3116,3.334515254,3.19488,2.647088372,-25.93333333
1/15/2020 8:00,3.7728,3.472291525,3.168853333,2.871348837,-25.73333333
